Event	ID	Name			Wwise Object Path	Notes
	153085414	Light_Bounce			\Default Work Unit\Light_Bounce	
	202194903	Music_Play			\Default Work Unit\Music_Play	
	674522502	Land			\Default Work Unit\Land	
	897878801	Sound_Bounce			\Default Work Unit\Sound_Bounce	
	957645723	LightDash			\Default Work Unit\LightDash	
	1537061107	Wind			\Default Work Unit\Wind	
	1584379932	Droplets			\Default Work Unit\Droplets	
	1960922890	SoundDash			\Default Work Unit\SoundDash	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	3227181061	Music_Stop			\Default Work Unit\Music_Stop	
	3833651337	Jump			\Default Work Unit\Jump	

Game Parameter	ID	Name			Wwise Object Path	Notes
	252131915	Bullet_Time			\Default Work Unit\Bullet_Time	

Audio Bus	ID	Name			Wwise Object Path	Notes
	805203703	Master Secondary Bus			\Default Work Unit\Master Secondary Bus	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	980603520	Rev			\Default Work Unit\Master Audio Bus\Rev	

Effect plug-ins	ID	Name	Type				Notes
	1169110113	New_Wwise_Compressor	Wwise Compressor			
	3442768367	Hall_Large_Dark	Wwise RoomVerb			
	4180247629	New_Wwise_Parametric_EQ	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7900533	Vent	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Vent_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Vent		11694144
	13347709	FTSTP  (5)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (5)_BBF1425D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Footsteps\FTSTP  (5)		15000
	14766695	Bounce_Sound3	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Bounce_Sound3_8BDA72D4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Sound_Bounce\Bounce_Sound3		71644
	51343728	FTSTP  (6)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (6)_13078F1C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Footsteps\FTSTP  (6)		8862
	63359783	LAND (1)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\LAND (1)_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Land\LAND (1)		18586
	118640053	FTSTP  (9)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (9)_066C25D9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Footsteps\FTSTP  (9)		13018
	144800129	Goutte-11_L	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Goutte-11.L_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Droplet\Goutte-11_L		10738
	162810563	Bounce_Sound1	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Bounce_Sound1_B3F7F752.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Sound_Bounce\Bounce_Sound1		32580
	241263403	BLANK	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\BLANK_4C0A73FE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Droplet\BLANK		878712
	300389398	GGJMusic2Loop	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\GGJMusic2Loop_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Music_Loop\GGJMusic2Loop		19083136
	323482280	FTSTP  (3)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (3)_295CF8F2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Footsteps\FTSTP  (3)		14014
	350212611	GGJMusic2First	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\GGJMusic2First_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Music_First_Shot\GGJMusic2First		19083136
	374707318	JUMP (1)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\JUMP (1)_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Jump\JUMP (1)		14324
	424866676	FTSTP  (4)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (4)_CDB8DE64.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Footsteps\FTSTP  (4)		15034
